T Pos,ODO % sat_x,ODO mg/L_x,Chlorophyll RFU_x,Chlorophyll µg/L_x,BGA-PC RFU_x,BGA-PC µg/L_x,Temp °C_x,Cond µS/cm_x,SpCond µS/cm_x,Sal psu_x,nLF Cond µS/cm_x,TDS mg/L_x,Turbidity NTU_x,pH_x,pH mV_x,Press psi a_x,Depth m_x,Discharge CFS_x,Chlorophyll/BGA_x,ODO % sat_y,ODO mg/L_y,Chlorophyll RFU_y,Chlorophyll µg/L_y,BGA-PC RFU_y,BGA-PC µg/L_y,Temp °C_y,Cond µS/cm_y,SpCond µS/cm_y,Sal psu_y,nLF Cond µS/cm_y,TDS mg/L_y,Turbidity NTU_y,pH_y,pH mV_y,Press psi a_y,Depth m_y,Discharge CFS_y,Chlorophyll/BGA_y,ODO mg/L,Chlorophyll µg/L,BGA-PC µg/L,Temp °C,Cond µS/cm,Sal psu,Turbidity NTU,pH,Depth m,H Pos,PAR,Chlorophyll/BGA,RMI
1.435897435897436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.354358974358974,3.83974358974359,0.19435897435897445,26.919564102564102,441.8076923076923,0.20000000000000012,9.564871794871795,7.646153846153841,3.0801538461538467,2.3076923076923075,60.23516076923079,20.04198941690226,281.8948717948719
3.0,83.375,7.026874999999999,0.39875,1.605625,0.048958333333333354,0.10000000000000003,23.899541666666664,245.10416666666663,250.37500000000006,0.12000000000000006,250.91041666666663,162.75,17.062708333333333,7.582291666666668,-63.92916666666666,-0.1800625,0.8128958333333334,62214.37333333334,16.05625,88.89166666666667,7.481041666666668,0.5350000000000001,2.133958333333333,0.14833333333333337,0.13583333333333333,23.979041666666664,300.37083333333334,306.3354166666667,0.14708333333333332,306.94374999999997,199.10416666666669,15.234375,7.607708333333335,-60.37291666666668,1.395625,0.9849791666666667,87946.80339285714,16.18089520504865,7.819583333333333,1.7950833333333336,0.16116666666666668,23.604366666666667,269.46500000000003,0.13349999999999998,26.56908333333333,7.586833333333331,3.3836916666666665,3.033333333333333,31.124436414166674,11.254664705063313,286.5
3.6153846153846154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.441153846153845,4.004230769230769,0.20230769230769236,27.14396153846154,447.2192307692308,0.20269230769230778,9.554615384615385,7.660769230769229,3.151269230769231,2.6538461538461537,110.7770073076923,20.05092132173016,288.30384615384605
5.428571428571429,76.94166666666668,6.2683333333333335,0.5279166666666667,2.11875,0.25083333333333335,0.25708333333333333,25.735541666666663,295.8416666666667,291.7416666666667,0.1400000000000001,291.3125,189.5,40.744166666666665,7.451250000000001,-55.55833333333333,-0.11991666666666667,1.0582916666666666,47486.42666666667,8.345863072953108,79.01666666666667,6.427499999999999,0.4945833333333334,1.9408333333333332,0.3041666666666666,0.29791666666666666,25.814999999999998,316.00416666666666,311.15833333333336,0.1495833333333333,310.64583333333337,202.20833333333334,52.211666666666666,7.37875,-58.54583333333334,1.4722500000000005,1.039583333333333,56832.877083333326,6.592449487371358,6.96952380952381,2.0252380952380955,0.1419047619047619,25.438476190476187,288.3285714285714,0.1357142857142858,68.85714285714286,7.423809523809526,2.004190476190476,2.7142857142857144,5.446382237142857,14.553076444252916,294.3714285714285
6.8,72.47083333333333,5.9679166666666665,0.5662499999999999,2.275,0.32083333333333336,0.32916666666666655,25.15391666666667,287.88333333333327,287.0208333333333,0.1400000000000001,286.94166666666666,186.58333333333334,58.28000000000001,7.4174999999999995,-53.56249999999999,0.02604166666666667,1.1614166666666668,33278.80000000001,6.958229750884225,78.325,6.418749999999999,0.49541666666666667,1.9387499999999998,0.3066666666666666,0.29916666666666664,25.410458333333338,314.7,312.25000000000006,0.14999999999999994,311.99583333333334,203.08333333333334,52.185416666666676,7.380416666666663,-58.58333333333334,1.5499583333333329,1.0942500000000002,61471.60208333333,6.503368498913782,6.948666666666667,2.0526666666666666,0.182,25.21946666666667,280.3733333333333,0.12999999999999995,74.11999999999999,7.406666666666667,1.9890666666666668,2.2,1.7653497473333333,11.399956672727571,298.99999999999994
8.0,80.81666666666666,6.769166666666667,0.4562500000000001,1.839583333333333,0.06000000000000002,0.1041666666666667,24.230999999999998,322.0958333333334,326.9,0.15583333333333335,327.4,212.45833333333334,16.254166666666666,7.572916666666669,-63.38333333333333,-0.19083333333333333,0.8053750000000001,78416.55999999998,17.602455357142855,91.10416666666669,7.612499999999998,0.5662500000000001,2.257916666666666,0.19874999999999998,0.18833333333333338,24.360875000000004,336.4541666666666,340.6166666666667,0.16083333333333336,341.03749999999997,221.41666666666666,11.88791666666667,7.632916666666664,-61.84583333333334,1.1659583333333334,0.8229583333333332,81955.05625000002,12.086146048331614,7.567500000000003,2.3271874999999995,0.211875,24.253000000000007,347.28125,0.16874999999999998,31.233124999999994,7.632499999999999,3.2565625,2.9375,6.862889756562499,11.024000096233276,304.29999999999995
9.379310344827585,71.78333333333333,5.661666666666665,0.5408333333333332,2.1712499999999992,0.15208333333333332,0.15833333333333333,27.53741666666666,355.5,339.06250000000006,0.16000000000000006,337.30416666666673,220.41666666666666,13.307083333333333,7.519583333333334,-59.74166666666667,0.14633333333333334,1.2462916666666668,28574.23999999999,14.11189627891384,83.71666666666665,6.594583333333333,0.5437500000000001,2.13875,0.17333333333333334,0.17041666666666666,27.588333333333328,377.68333333333334,359.90833333333336,0.16999999999999996,357.9875,233.91666666666666,13.800833333333335,7.479583333333334,-64.60000000000001,1.4500416666666667,1.0244166666666665,55541.510416666664,12.675712484748443,6.884827586206894,2.592758620689655,0.10137931034482761,27.59510344827586,353.41034482758613,0.16000000000000006,21.90827586206896,7.57689655172414,2.7959655172413793,2.1724137931034484,60.36918493103449,25.575235109717866,307.9000000000001
10.0,80.96249999999999,6.315,0.6366666666666666,2.5608333333333335,0.14333333333333334,0.15541666666666668,28.10854166666667,362.4458333333334,342.125,0.16000000000000006,339.9291666666666,222.375,19.20208333333333,7.602499999999998,-64.72500000000001,0.19325,1.2794999999999999,22420.733333333334,16.290737941932793,87.77500000000002,6.849166666666669,0.5991666666666667,2.3616666666666664,0.19374999999999998,0.1895833333333333,28.119249999999997,377.1166666666666,355.9166666666666,0.16999999999999996,353.62083333333334,231.33333333333334,14.777916666666668,7.517916666666668,-66.88333333333333,1.34875,0.9528750000000001,46153.61458333332,13.189893802871481,6.894444444444445,2.7933333333333334,0.10333333333333333,27.695666666666668,355.22222222222223,0.16,23.575555555555557,7.593333333333334,3.220111111111111,3.5555555555555554,62.895230000000005,27.093939393939397,309.7
11.0,92.72500000000001,7.172083333333333,0.65,2.6133333333333333,0.12166666666666666,0.135,28.61683333333333,359.61666666666673,336.3791666666667,0.16000000000000006,333.8541666666667,218.625,7.945,7.73,-72.39999999999999,0.25633333333333336,1.3241249999999998,26171.373333333333,19.33542162452346,94.45416666666667,7.354166666666668,0.7324999999999999,2.900833333333333,0.20333333333333337,0.20125,28.267541666666673,371.1208333333332,349.325,0.16708333333333333,346.95416666666665,227.0,9.425833333333335,7.583750000000002,-70.8625,1.643,1.1608749999999999,33541.55000000001,14.488479685698143,7.585000000000001,5.611428571428571,0.15464285714285714,28.342071428571433,373.8321428571429,0.16749999999999995,9.805000000000003,7.742142857142858,4.251321428571429,2.5357142857142856,96.53621117857143,36.78995231864677,313.0
12.0,73.29583333333333,6.09,0.45208333333333334,1.8208333333333337,0.032083333333333346,0.10000000000000003,24.66979166666667,346.4291666666666,348.625,0.16999999999999996,348.8583333333333,226.70833333333334,15.222083333333332,7.550416666666667,-62.21666666666665,-0.060250000000000005,0.8975000000000001,31399.866666666654,18.208333333333332,86.61666666666667,7.082916666666666,0.5554166666666666,2.180416666666667,0.18666666666666668,0.18416666666666667,25.523,383.53333333333336,379.73333333333335,0.18000000000000005,379.33750000000003,246.79166666666666,11.621250000000002,7.496666666666667,-65.39999999999999,1.6420416666666664,1.1593333333333335,57058.01666666666,11.892876520624197,7.3755263157894735,2.9439473684210533,0.11657894736842109,24.956184210526313,349.68421052631584,0.16578947368421051,18.155,7.635526315789473,4.159789473684211,2.8947368421052633,36.746353513157906,25.71964745780535,314.5
